time_offset_s,desired_position_x,desired_position_y,desired_position_z,desired_position_roll,desired_position_pitch,desired_position_yaw,desired_velocity_x,desired_velocity_y,desired_velocity_z,desired_velocity_roll,desired_velocity_pitch,desired_velocity_yaw,nominal_position_x,nominal_position_y,nominal_position_z,nominal_position_roll,nominal_position_pitch,nominal_position_yaw,nominal_velocity_x,nominal_velocity_y,nominal_velocity_z,nominal_velocity_roll,nominal_velocity_pitch,nominal_velocity_yaw,actual_position_mean_x,actual_position_mean_y,actual_position_mean_z,actual_position_mean_roll,actual_position_mean_pitch,actual_position_mean_yaw,actual_velocity_mean_x,actual_velocity_mean_y,actual_velocity_mean_z,actual_velocity_mean_roll,actual_velocity_mean_pitch,actual_velocity_mean_yaw,actual_position_std_x,actual_position_std_y,actual_position_std_z,actual_position_std_roll,actual_position_std_pitch,actual_position_std_yaw,actual_velocity_std_x,actual_velocity_std_y,actual_velocity_std_z,actual_velocity_std_roll,actual_velocity_std_pitch,actual_velocity_std_yaw,nominal_acceleration_command_x,nominal_acceleration_command_y,nominal_acceleration_command_z,nominal_acceleration_command_roll,nominal_acceleration_command_pitch,nominal_acceleration_command_yaw,nominal_actual_log_residual_x,nominal_actual_log_residual_y,nominal_actual_log_residual_z,nominal_actual_log_residual_roll,nominal_actual_log_residual_pitch,nominal_actual_log_residual_yaw,desired_actual_log_residual_x,desired_actual_log_residual_y,desired_actual_log_residual_z,desired_actual_log_residual_roll,desired_actual_log_residual_pitch,desired_actual_log_residual_yaw
294.00327491760254,-0.25939276814460754,-0.1603957712650299,0.800000011920929,0.0,0.0,0.06156108155846596,0.0,0.0,0.0,0.0,0.0,0.0,-0.2783303215053126,-0.15848300495179646,0.8522036135498927,0.012286385128516078,-0.0459792383355812,0.14040193812381757,0.010998407652694848,0.04024268415595293,-0.008539622526276163,-0.05988606595885801,0.08696780183193797,0.1166481967375518,-0.2783303215053126,-0.15848300495179646,0.8522036135498927,0.012286385128516078,-0.0459792383355812,0.14040193812381757,0.010998407652694848,0.04024268415595293,-0.008539622526276163,-0.05988606595885801,0.08696780183193797,0.1166481967375518,0.002319719678477073,0.0023197289652923973,0.002293679510838804,0.0015878264931873142,0.0015874711683565828,0.0016638090822771023,0.010285895473962763,0.01028622180408942,0.009972637471748145,0.008726646259971648,0.008726646259971648,0.008726646259971648,-0.17740190676931272,0.04490576638468356,11.866860668827009,4.222641328148275,1.4246809194782821,-1.1383149010032818,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.018937553360705073,0.0019127663132334494,0.05220360162896376,0.010859412345318205,-0.04630952229638492,0.07885247213435233
294.05327491760255,-0.25939276814460754,-0.1603957712650299,0.800000011920929,0.0,0.0,0.06156108155846596,0.0,0.0,0.0,0.0,0.0,0.0,-0.27781713234735345,-0.15664191981793182,0.851844350706641,0.010035263078482815,-0.042715647185890486,0.1451884395452318,0.009529158665667597,0.03340072119861553,-0.005830891203788557,-0.016243127587809145,0.05041895124583363,0.07584945622315768,-0.2777459328517659,-0.15644439972038604,0.8518241656546066,0.008846786739618091,-0.04382400905946158,0.14581123204878393,0.011616144908221422,0.04109485402071782,-0.00677988129646115,-0.05749076241556578,0.011073963909002135,0.10167413800133844,0.0019616432098914895,0.0019616427429718806,0.00194769354647079,0.001544302950962793,0.0015439959601925132,0.0016187919056398835,0.009229306837573647,0.009229566109236274,0.008988746283283569,0.008726646259971648,0.008726646259971648,0.008726646259971648,-0.15711538544848083,0.046470260749574596,11.853390408962843,4.220833140476542,2.7248534220586738,-1.1394947264591617,7.119949558753724e-05,0.0001975200975457836,-2.01850520343827e-05,-0.0012507293965781435,-0.0010157818907761032,0.0006543640347294456,-0.018353164707158365,0.003951371544643867,0.05182415373367766,0.007489460101895082,-0.04404950598951422,0.08426040062889972
294.10327491760256,-0.25939276814460754,-0.1603957712650299,0.800000011920929,0.0,0.0,0.06156108155846596,0.0,0.0,0.0,0.0,0.0,0.0,-0.2773520474870946,-0.15514097721397802,0.8516036866046834,0.010017757351531974,-0.03948403890767484,0.1479793563850918,0.009074235744682172,0.02663698295952269,-0.0037956728745093845,0.027309401399653058,0.07887872578876365,0.03499172443596956,-0.2772180857210639,-0.15440511264946588,0.8515010133650329,0.006034333687345891,-0.04484204751302608,0.1504924144984112,0.009015898448925997,0.040160020727867,-0.006405021060399909,-0.04573097048685219,-0.049960294454836435,0.08935859313709263,0.0016746739583749187,0.0016746700722558832,0.0016686583288573155,0.0015026453126040003,0.001502356051727203,0.0015755412177902212,0.008252955876222151,0.008253134612188469,0.00807515678584655,0.008726646259971648,0.008726646259971648,0.008726646259971648,-0.13419771041665932,0.04251513527182478,11.850600025623372,4.047334922499734,3.8349418629727805,-1.1522170169035404,0.0001339617660306991,0.0007358645645121342,-0.00010267323965051922,-0.004312802182211994,-0.005033791511673019,0.0026223722072297186,-0.017825317576456334,0.005990658615564026,0.051501001444103967,0.004648574125257962,-0.04497887662324789,0.08894183129488867
294.1532749176025,-0.25939276814460754,-0.1603957712650299,0.800000011920929,0.0,0.0,0.06156108155846596,0.0,0.0,0.0,0.0,0.0,0.0,-0.27688106167909576,-0.15398316542882723,0.8514612954400156,0.011789446137300992,-0.03329044184233027,0.14876274480649698,0.009765196575287297,0.019675488446550232,-0.0018999737122059664,0.06218701948823321,0.16284292237731618,-0.006502121873390464,-0.2768943341416841,-0.1524473960484676,0.8511546654080784,0.004080136683602233,-0.04884527467701873,0.15455061071977053,0.00362942969962896,0.03798423347227378,-0.007621351822909847,-0.03056835115089954,-0.1042440978622284,0.0735471081028852,0.0014583707117570433,0.0014583690846944252,0.0014565922091012418,0.0014622116236522014,0.0014619122225583727,0.001533453834593684,0.007323306099915521,0.007323404638979272,0.007196470542820359,0.008726646259971648,0.008726646259971648,0.008726646259971648,-0.11179949018529214,0.04598501367869235,11.855301633326139,3.809812883236688,4.8635324652366405,-1.15021804866688,-1.3272462588309608e-05,0.001535769380359625,-0.00030663003193720506,-0.00873409722045151,-0.014894399985438695,0.00602032535966695,-0.01750156599707653,0.007948375216562303,0.051154653487149426,0.0025733223762425296,-0.048916625686574636,0.0930018494763668
294.2032749176025,-0.25939276814460754,-0.1603957712650299,0.800000011920929,0.0,0.0,0.06156108155846596,0.0,0.0,0.0,0.0,0.0,0.0,-0.2763475300542769,-0.15316909102131543,0.8514195662430913,0.014631090308134018,-0.021502466695701074,0.14752620436458092,0.01157606841746182,0.012887487853913276,0.00023080583523801368,0.08518853561369803,0.29823664907916886,-0.047896019770964623,-0.27686882823556214,-0.15061923607130934,0.8507366861227277,0.003187084883358062,-0.05454974267945349,0.1578849409582006,-0.0026622411789983848,0.03507476441331967,-0.008932876164924795,-0.025102672274582568,-0.12243658052484749,0.05778859104361746,0.0013078870373103757,0.0013078909887101363,0.001307350270412214,0.001423704788666428,0.0014233771583224532,0.0014931913016162672,0.006528486016058825,0.006528524324618185,0.006443490912117369,0.008726646259971648,0.008726646259971648,0.008726646259971648,-0.0929864479430264,0.04998609932000596,11.863748236640681,3.724973681296963,5.258012195427188,-1.1403425854905784,-0.0005212981812852124,0.002549854950006092,-0.0006828801203636603,-0.013714169285024462,-0.03200987470582334,0.010749510290937023,-0.017476060090954593,0.00977653519372057,0.050736674201798726,0.0015057871916904495,-0.054586368965911486,0.09633917115950223
294.25327491760254,-0.25939276814460754,-0.1603957712650299,0.800000011920929,0.0,0.0,0.06156108155846596,0.0,0.0,0.0,0.0,0.0,0.0,-0.27569993853454644,-0.1526894152863839,0.8514949342776825,0.01799967718238881,-0.002373200359057022,0.14428873278824253,0.014327592371749846,0.006299541543342047,0.0027839155484092144,0.10394809164217564,0.45335436229055337,-0.08879614450972359,-0.2771671977059994,-0.14895275988807977,0.8502569614476299,0.0025568548121288706,-0.06078609928162547,0.16038021688449008,-0.009253880321848512,0.03157107419108903,-0.010322801909130219,-0.024417952995456967,-0.12701822696525616,0.03535615587670984,0.0012133915884466385,0.001213401429806357,0.0012121107829507188,0.0013867164221015539,0.0013863527337389851,0.0014543833215656518,0.005843623150568937,0.005843628964684942,0.005790424951043119,0.008726646259971648,0.008726646259971648,0.008726646259971648,-0.07939544105953827,0.044698713129184164,11.874418989383786,3.7295443635507097,5.416841449115469,-1.1027032627123539,-0.0014672591714529615,0.003736655398304145,-0.0012379728300526693,-0.019560160256920985,-0.05694176036909516,0.0166742588564445,-0.017774429561391858,0.01144301137695014,0.0502569495267009,0.0006844546863660809,-0.060795543587265945,0.09883811725186176
294.30327491760255,-0.25939276814460754,-0.1603957712650299,0.800000011920929,0.0,0.0,0.06156108155846596,0.0,0.0,0.0,0.0,0.0,0.0,-0.2748977820584972,-0.15254574609971958,0.8517112962388612,0.02173625456712266,0.024780411627964558,0.13911248332389917,0.017758666670212434,-0.0005527740767703321,0.0058705628987357605,0.12293618178334063,0.6164135381863538,-0.1278143031095709,-0.27778193495518916,-0.14744555819599986,0.8497239989817041,0.001556075412399196,-0.06651223266433537,0.16179490714747524,-0.014911549443497834,0.028901317401843818,-0.010799313930613496,-0.03323009800609571,-0.09408575702293137,0.02509256323391872,0.001160673022227362,0.001160686856052244,0.001157760297771391,0.0013511554883590933,0.001350758683228233,0.001416957916766297,0.005269630336038137,0.00526963133023968,0.005238677353269274,0.008726646259971648,0.008726646259971648,0.008726646259971648,-0.06714746521250672,0.043298293538596086,11.880673503857544,3.9056409758963055,4.889670403385788,-1.1019392524628595,-0.0028841528966919716,0.005100187903719716,-0.0019872972571570724,-0.02671180272666477,-0.0893101841399833,0.02346294881147109,-0.018389166810581614,0.012950213069030048,0.04972398706077519,-0.0004912904320473219,-0.06648389564157382,0.10025652473165762
294.35327491760256,-0.25939276814460754,-0.1603957712650299,0.800000011920929,0.0,0.0,0.06156108155846596,0.0,0.0,0.0,0.0,0.0,0.0,-0.27390876189771596,-0.15274644321854916,0.8520898087106484,0.026091125244471495,0.05951342292631167,0.13203208095012872,0.021802139761026736,-0.00747511067641213,0.009269935972750278,0.15072910254178742,0.7531141617956641,-0.1667942611969435,-0.27860112245286,-0.1460646103753908,0.8491977742883718,0.0001714649406179235,-0.0699953176014806,0.16268445607491097,-0.01738504400074238,0.02631976784487094,-0.01004157615563773,-0.03785537143534133,-0.04541150038532277,0.01214867686564931,0.0011349729224512486,0.001134988208877892,0.001130410740207317,0.001317236441351813,0.0013168294568409865,0.0013811426727596866,0.004823854713920795,0.004823862129116337,0.004807313013730281,0.008726646259971648,0.008726646259971648,0.008726646259971648,-0.06884924224421926,0.04138064094082243,11.884835224198904,4.0172843278376025,4.051791960233853,-1.0714790129033847,-0.004692360555144048,0.006681832843158347,-0.0028920344222765904,-0.035262517571682285,-0.12693221647553507,0.03157654915412535,-0.019208354308252462,0.014331160889639094,0.04919776236744289,-0.0019814279215439813,-0.06992008659952823,0.10114849988695523
294.4032749176025,-0.25939276814460754,-0.1603957712650299,0.800000011920929,0.0,0.0,0.06156108155846596,0.0,0.0,0.0,0.0,0.0,0.0,-0.2727196953036851,-0.15329565423310734,0.8526434919865624,0.03152825889314233,0.10014341898366373,0.1230405149020929,0.025760524000250893,-0.014493329905934655,0.01287739506382873,0.18410419089726238,0.8479208632472605,-0.2042512073062994,-0.27950298048925387,-0.14478346084273602,0.8487505853640214,-0.0020823023797308495,-0.07139256460789264,0.1628546563844248,-0.018480102225789347,0.025121761275352886,-0.0075750752355670135,-0.05019143445167498,0.0012841539692122123,-0.002171155178479599,0.0011255826884408356,0.001125597116908032,0.001119867747907744,0.001285147119781766,0.0012847535673400344,0.0013471047809983877,0.0045117523688968314,0.004511773369501477,0.004503371719332549,0.008726646259971648,0.008726646259971648,0.008726646259971648,-0.0769584936617838,0.03527939108716209,11.882605533528002,4.26720496692381,3.236096409977419,-1.053139621378928,-0.006783285185568755,0.00851219339037132,-0.003892906622541048,-0.046020073778402504,-0.16824056781867625,0.04076084832167351,-0.020110212344646328,0.015612310422293885,0.048750573443092415,-0.004275571462398175,-0.07124634967543325,0.1013197354780954
294.4532749176025,-0.25939276814460754,-0.1603957712650299,0.800000011920929,0.0,0.0,0.06156108155846596,0.0,0.0,0.0,0.0,0.0,0.0,-0.2713428460619635,-0.15420340277145964,0.8533747611036924,0.03861437229732899,0.14462917951507182,0.11211920606501047,0.02931344566860123,-0.021816611628148245,0.016373369621366176,0.22997531120708847,0.9019427871861335,-0.24079118383947484,-0.28040765540677376,-0.14354135240391533,0.8484465041239574,-0.004865828917424672,-0.0706604729231606,0.1622772247117726,-0.017300351134552375,0.024738885379765204,-0.004801295438151756,-0.058330444490831926,0.040618751483360624,-0.018002852878823025,0.001123851954882617,0.001123863769611645,0.0011176299255008693,0.001254454252920789,0.0012540966701929238,0.0013144456974937928,0.004292215131941441,0.004292244762807612,0.004286359539316009,0.008726646259971648,0.008726646259971648,0.008726646259971648,-0.0840458115620259,0.032070217302434895,11.876723199156492,4.448768838999807,2.517992207023119,-1.0398347962244259,-0.009064809344810243,0.010662050367544307,-0.0049282569797349796,-0.05902276583042676,-0.21116181678064283,0.050956911996518285,-0.021014887262166215,0.01685441886111458,0.048446492203028435,-0.007033399630275673,-0.07042970274867494,0.10074186964125385
